2022-05-03 14:50:49.319014 p26 I    ++++ Admin started @ ActorAddr-(T|:19000) / gen (3, 10)
2022-05-03 14:50:49.415128 p26 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:33649)
2022-05-03 14:50:49.439968 p30 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:42791) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 14:50:49.723718 p26 I    Pending Actor request received for mTree.server.actor_system_startup.SimpleSourceAuthority reqs None from ActorAddr-(T|:33565)
2022-05-03 14:50:49.732388 p32 I    Starting Actor mTree.server.actor_system_startup.SimpleSourceAuthority at ActorAddr-(T|:35371) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 14:50:59.746685 p26 I    Pending Actor request received for mTree.microeconomic_system.dispatcher.Dispatcher reqs None from ActorAddr-(T|:41869)
2022-05-03 14:50:59.769305 p175 I    Starting Actor mTree.microeconomic_system.dispatcher.Dispatcher at ActorAddr-(T|:37505) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash None)
2022-05-03 14:50:59.806025 p26 I    Pending Actor request received for environment.TaxEnvironment (d970bbdb35ddb6612c64efddd69ed36e) reqs None from ActorAddr-(T|:37505)
2022-05-03 14:50:59.825536 p26 ERR  sourceload realization failure in environment: invalid syntax (environment.py, line 66)
2022-05-03 14:50:59.830009 p175 I    Pending Actor create for ActorAddr-(T|:37505) failed (3589): Source hash {{d970bbdb35ddb6612c64efddd69ed36e}}: invalid syntax (environment.py, line 66)
2022-05-03 14:50:59.835094 p175 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: logger_setup, Content: {'simulation_id': '1', 'simulation_run_id': 'basic_config-2022_05_03-02_50_59_PM', ...-quit_0:04:59.970857)
